Number,Word (Portuguese),Word (English),Imag_M,Imag_SD,Conc_M,Conc_SD,Subfreq_M,Subfreq_SD,P-PAL_Nlett,P-PAL_Nsyll,P-PAL_Syllabicstruct,P-PAL_PoS,P-PAL_FREQmil,P-PAL_FREQlog10,P-PAL_FREQZipf,P-PAL_ON,P-PAL_OLD20
1,aba,flap,4.09,2.31,4.55,1.88,2.60,1.26,3,2,V.CV,N,1.021,0.306,3.009,8,1.200
2,abacate,avocado,5.40,1.79,6.66,0.65,2.73,1.04,7,4,V.CV.CV.CV,N,0.186,0.074,2.269,0,2.250
3,abacaxi,pineapple,5.66,1.89,6.75,0.58,3.76,1.44,7,4,V.CV.CV.CV,N,0.068,0.029,1.835,0,2.750
4,abadia,abbey,3.31,1.89,4.57,1.91,2.20,0.99,6,4,V.CV.CV.V,N,0.933,0.286,2.970,2,1.800
5,abandonado,derelict,3.92,1.77,3.45,1.83,3.93,1.12,10,5,V.CVC.CV.CV.CV,"ADJ,V",17.998,1.279,4.255,1,1.950
6,abandono,abandonment,3.42,1.77,3.36,1.77,3.88,1.44,8,4,V.CVC.CV.CV,"N,V",35.644,1.564,4.552,2,2.100
7,abate,slaughter,3.63,1.91,3.61,1.59,2.80,1.32,5,3,V.CV.CV,"N,V",11.573,1.100,4.064,8,1.300
8,abatido,dejected,4.16,1.60,3.69,1.67,4.05,1.54,7,4,V.CV.CV.CV,"ADJ,V",6.292,0.863,3.799,2,1.800
9,abelha,bee,6.29,1.41,6.77,0.50,4.22,1.38,6,3,V.CV.CCV,N,0.860,0.270,2.934,1,1.850
10,aberração,freak,3.72,1.85,3.53,1.93,2.98,1.23,9,4,V.CVC.CV.CVV,N,1.998,0.477,3.301,0,2.650
11,abertura,opening,3.44,1.92,3.90,1.84,5.29,1.36,8,4,V.CVC.CV.CV,N,151.866,2.184,5.182,1,2.350
12,abóbora,pumpkin,5.75,1.99,6.45,0.89,3.42,1.23,7,4,V.CV.CV.CV,N,0.879,0.274,2.944,1,2.650
13,abolição,abolishment,2.52,1.52,3.08,1.62,2.90,1.28,8,4,V.CV.CV.CVV,N,10.802,1.072,4.034,1,2.400
14,abordagem,approach,3.21,1.74,2.89,1.82,4.14,1.44,9,4,V.CVC.CV.CVC,N,21.432,1.351,4.331,1,2.200
15,aborrecido,bored,4.03,1.67,3.17,1.85,4.96,1.09,10,5,V.CVC.CV.CV.CV,"ADJ,V",3.776,0.679,3.577,1,2.250
16,aborto,abortion,4.27,1.69,4.67,2.12,2.78,0.71,6,3,V.CVC.CV,"N,V",40.583,1.619,4.608,5,1.600
17,abraço,hug,6.05,1.20,5.65,1.39,5.57,1.30,6,3,V.CCV.CV,"N,V",8.437,0.975,3.926,3,1.650
18,abrigado,sheltered,4.26,1.85,4.03,1.59,3.84,1.50,8,4,V.CCV.CV.CV,"ADJ,V",0.660,0.220,2.819,2,1.750
19,abrigo,shelter,4.63,1.48,4.53,1.78,4.02,1.42,6,3,V.CCV.CV,"N,V",33.172,1.534,4.521,2,1.750
20,abstenção,abstaining,3.03,1.89,3.05,1.64,2.91,1.24,9,3,VCC.CVC.CVV,N,17.802,1.274,4.251,0,2.750
21,absurdo,absurd,2.43,1.41,2.45,1.29,4.58,1.46,7,3,VC.CVC.CV,"ADJ,N",15.555,1.219,4.192,1,2.350
22,abundância,abundance,3.87,2.00,3.47,1.89,4.35,1.49,10,4,V.CVC.CVC.CVV,N,6.043,0.848,3.781,1,3.600
23,abundante,abundant,3.70,1.62,3.31,1.86,4.14,1.53,9,4,V.CVC.CVC.CV,ADJ,5.193,0.792,3.715,0,2.600
24,abuso,abuse,3.68,1.86,2.94,1.20,4.82,1.26,5,3,V.CV.CV,"N,V",18.144,1.282,4.259,3,1.700
25,abutre,vulture,5.91,1.58,5.91,1.56,2.69,1.03,6,3,V.CV.CCV,N,0.645,0.216,2.810,0,2.250
26,acácia,acacia,3.87,2.15,5.08,2.00,1.70,0.69,6,3,V.CV.CVV,N,0.396,0.145,2.597,1,2.050
27,académico,academic,4.45,1.91,4.09,1.83,5.31,1.47,9,5,V.CV.CV.CV.CV,"ADJ,N",8.886,0.995,3.949,1,2.750
28,acampamento,camp,5.44,2.01,6.13,1.04,3.09,1.11,11,5,V.CVC.CV.CVC.CV,N,10.010,1.042,4.000,0,2.600
29,acanhado,shy,3.25,1.64,3.33,1.52,3.46,1.42,8,4,V.CV.CCV.CV,"ADJ,V",0.806,0.257,2.906,3,1.800
30,acção,action,3.24,1.91,3.24,1.74,5.39,1.36,5,2,VC.CVV,N,209.767,2.324,5.322,1,1.900
31,aceleração,acceleration,4.03,1.83,3.49,1.76,4.29,1.63,10,5,V.CV.CV.CV.CVV,N,8.930,0.997,3.951,1,2.700
32,acessível,acessible,2.84,1.37,3.16,1.64,5.05,1.25,9,4,V.CVC.CV.CVC,ADJ,10.909,1.076,4.038,0,3.300
33,acesso,access,3.32,1.72,3.78,1.69,4.91,1.52,6,3,V.CVC.CV,"ADJ,N",164.539,2.219,5.216,2,1.650
34,acessório,accessory,4.93,1.90,4.65,1.58,5.11,1.46,9,4,V.CVC.CV.CVV,"ADJ,N",1.964,0.472,3.293,1,2.600
35,acidente,accident,5.52,1.57,4.93,1.47,4.63,1.63,8,4,V.CV.CVC.CV,"N,V",87.086,1.945,4.940,2,1.800
36,ácido,acid,4.08,2.02,3.95,2.08,3.95,1.33,5,3,V.CV.CV,"ADJ,N",5.560,0.817,3.745,4,1.750
37,aço,steel,4.48,2.16,6.07,1.37,3.17,1.09,3,2,V.CV,N,11.041,1.081,4.043,11,1.000
38,acolhedor,cozy,4.21,1.71,3.49,1.76,4.04,1.24,9,4,V.CV.CCV.CVC,"ADJ,N",1.593,0.414,3.202,0,2.300
39,acompanhante,accompanying,4.63,1.87,5.07,1.50,4.05,1.61,12,5,V.CVC.CV.CCVC.CV,"ADJ,N",2.233,0.510,3.349,1,2.700
40,aconchego,cuddle,4.05,1.80,3.39,1.67,4.38,1.52,9,4,V.CVC.CCV.CV,"N,V",0.894,0.277,2.951,1,2.250
41,acordeão,accordion,6.16,1.31,6.47,1.00,2.87,1.21,8,4,V.CVC.CV.VV,N,3.332,0.637,3.523,0,2.400
42,acordo,deal,3.47,1.72,3.47,1.57,5.19,1.33,6,3,V.CVC.CV,"N,V",510.573,2.709,5.708,3,1.650
43,acre,pungent,2.84,1.88,3.76,2.03,1.90,0.91,4,2,V.CCV,ADJ,0.406,0.148,2.608,7,1.400
44,acta,minutes,4.46,2.00,5.37,1.57,3.02,1.29,4,2,VC.CV,N,6.175,0.856,3.791,7,1.400
45,actividade,activity,4.03,1.89,4.11,1.66,5.91,1.18,10,5,VC.CV.CV.CV.CV,N,191.789,2.285,5.283,0,2.600
46,activista,activist,3.76,1.85,3.73,1.90,2.95,1.20,9,4,VC.CV.CVC.CV,"ADJ,N",4.656,0.753,3.668,0,2.700
47,activo,active,3.85,1.78,3.95,1.72,5.63,1.15,6,3,VC.CV.CV,"ADJ,N",26.479,1.439,4.423,3,1.750
48,acto,act,3.45,1.90,3.88,1.90,5.00,1.52,4,2,VC.CV,N,81.742,1.918,4.912,7,1.050
49,actor,actor,5.70,1.16,5.91,1.20,4.98,1.37,5,2,VC.CVC,N,52.669,1.730,4.722,2,1.800
50,actriz,actress,5.82,1.24,5.84,1.40,5.05,1.36,6,2,VC.CCVC,N,31.066,1.506,4.492,0,2.600
51,actuação,performance,4.30,1.71,3.88,1.85,4.35,1.49,8,4,VC.CV.V.CVV,N,74.042,1.875,4.870,2,2.150
52,actual,current,2.82,1.68,3.46,1.75,5.84,0.98,6,3,VC.CV.VC,ADJ,298.153,2.476,5.474,3,1.750
53,açúcar,sugar,6.31,1.22,6.73,0.56,5.82,1.18,6,3,V.CV.CVC,N,11.412,1.094,4.057,0,2.600
54,açucena,white lily,3.57,2.15,4.45,2.16,1.59,0.69,7,4,V.CV.CV.CV,N,0.210,0.083,2.322,0,2.800
55,acumulação,accumulation,3.68,1.96,3.39,1.73,3.95,1.36,10,5,V.CV.CV.CV.CVV,N,12.673,1.136,4.103,1,2.700
56,acusação,accusation,3.08,1.66,3.27,1.83,3.37,1.09,8,4,V.CV.CV.CVV,N,58.390,1.774,4.766,1,2.200
57,acusado,accused,3.63,1.62,3.02,1.48,3.71,1.53,7,4,V.CV.CV.CV,"N,V",54.848,1.747,4.739,3,1.650
58,adaptação,adaptation,2.64,1.41,2.98,2.03,4.39,1.51,9,4,V.CVC.CV.CVV,N,32.014,1.519,4.505,2,2.400
59,adaptável,adaptabe,2.97,1.93,3.19,1.65,4.07,1.66,9,4,V.CVC.CV.CVC,ADJ,0.503,0.177,2.702,1,2.650
60,adega,cellar,5.18,1.76,5.80,1.64,3.00,1.08,5,3,V.CV.CV,N,3.478,0.651,3.541,5,1.650
61,adepto,follower,5.06,1.75,5.13,1.65,4.60,1.44,6,3,V.CVC.CV,"ADJ,N",8.740,0.989,3.942,3,1.800
62,adequado,appropriate,2.76,1.71,3.23,1.63,4.89,1.14,8,4,V.CV.CVV.CV,"ADJ,V",17.465,1.266,4.242,1,2.050
63,adesão,accession,2.78,1.34,3.60,1.60,3.96,1.32,6,3,V.CV.CVV,N,60.876,1.792,4.784,0,2.000
64,adeus,goodbye,4.78,1.81,3.44,1.95,6.15,1.03,5,2,V.CVVC,"INT,N",15.560,1.219,4.192,2,1.800
65,adiamento,postponement,2.80,1.33,3.18,1.63,3.74,1.51,9,5,V.CV.V.CVC.CV,N,23.347,1.386,4.368,1,1.850
66,admiração,wonder,4.05,1.81,3.26,1.86,4.79,1.41,9,4,VC.CV.CV.CVV,N,10.904,1.076,4.038,1,2.650
67,admirado,admired,4.07,1.97,3.12,1.68,4.82,1.31,8,4,VC.CV.CV.CV,"ADJ,V",2.897,0.591,3.462,1,1.800
68,admirável,admirable,3.36,1.77,2.84,1.50,4.71,1.15,9,4,VC.CV.CV.CVC,ADJ,7.250,0.916,3.860,0,2.750
69,admissão,admission,2.98,1.31,3.00,1.73,3.56,1.67,8,3,VC.CVC.CVV,N,13.176,1.152,4.120,0,2.650
70,adolescência,adolescence,4.89,1.73,3.62,1.58,4.84,1.38,12,5,V.CV.CVC.CVC.CVV,N,8.007,0.955,3.904,0,3.650
71,adolescente,adolescent,5.59,1.31,5.16,1.94,5.30,1.15,11,5,V.CV.CVC.CVC.CV,"ADJ,N",11.720,1.105,4.069,0,3.400
72,adopção,adoption,3.90,1.67,3.40,1.67,3.59,1.45,7,3,V.CVC.CVV,N,24.036,1.399,4.381,0,2.400
73,adoração,worship,3.46,2.01,2.24,1.48,3.71,1.55,8,4,V.CV.CV.CVV,N,1.725,0.435,3.237,1,1.950
74,adorável,adorable,3.77,1.86,3.25,1.68,4.72,1.42,8,4,V.CV.CV.CVC,ADJ,0.694,0.229,2.841,1,2.350
75,adulto,adult,5.64,1.46,5.45,1.42,5.63,1.20,6,3,V.CVC.CV,"ADJ,N",7.225,0.915,3.859,2,1.800
76,adversário,adversary,4.10,1.66,4.68,1.66,4.02,1.33,10,4,VC.CVC.CV.CVV,"ADJ,N",60.549,1.789,4.782,1,3.100
77,adversidades,hardship,2.85,1.69,2.67,1.24,3.84,1.39,12,5,VC.CVC.CV.CV.CVC,N,1.094,0.321,3.039,0,3.300
78,advogado,lawyer,5.19,1.84,6.16,1.01,4.00,1.26,8,4,VC.CV.CV.CV,"N,V",62.254,1.801,4.794,1,1.800
79,aéreo,aerial,4.05,1.88,3.96,1.77,3.81,1.42,5,3,V.V.CVV,ADJ,15.868,1.227,4.201,1,1.900
80,aeroporto,airport,6.10,1.38,6.43,1.02,3.40,1.23,9,5,V.V.CV.CVC.CV,N,55.346,1.751,4.743,0,3.150
81,afecto,affection,3.81,1.94,3.02,1.80,4.53,1.62,6,3,V.CVC.CV,"ADJ,N,V",8.691,0.986,3.939,3,1.750
82,afectuoso,affectionate,3.70,1.77,3.05,1.39,3.64,1.49,9,5,V.CVC.CV.V.CV,ADJ,0.606,0.206,2.782,1,2.700
83,afeição,affection ,3.98,1.95,2.56,1.46,3.36,1.29,7,3,V.CVV.CVV,N,1.622,0.419,3.210,3,1.750
84,afiado,keen,4.76,1.85,4.68,1.69,3.78,1.60,6,4,V.CV.V.CV,V,0.362,0.134,2.558,4,1.450
85,afinidade,affinity,3.25,1.85,3.00,1.69,4.29,1.50,9,5,V.CV.CV.CV.CV,N,1.935,0.468,3.287,0,2.650
86,afirmação,affirmation,3.48,1.98,3.92,2.16,5.09,1.35,9,4,V.CVC.CV.CVV,N,47.173,1.683,4.674,1,2.150
87,aflito,distressed,4.10,1.91,3.79,1.70,4.77,1.40,6,3,V.CCV.CV,"ADJ,N",2.413,0.533,3.383,4,1.750
88,agência,agency,4.23,1.64,4.29,1.85,4.02,1.43,7,3,V.CVC.CVV,N,115.231,2.065,5.062,1,1.900
89,agenda,agenda,5.44,1.78,6.33,1.06,5.36,1.19,6,3,V.CVC.CV,"N,V",42.551,1.639,4.629,4,1.650
90,agente,agent,4.63,1.90,4.64,1.72,4.14,1.52,6,3,V.CVC.CV,"ADJ,N",38.497,1.597,4.585,5,1.550
91,ágil,agile,3.59,1.80,3.30,1.73,4.11,1.44,4,2,V.CVC,ADJ,2.037,0.483,3.309,1,1.950
92,agilidade,agility,3.63,1.93,3.46,1.67,4.00,1.32,9,5,V.CV.CV.CV.CV,N,3.307,0.634,3.520,0,2.450
93,agitação,agitation,3.98,1.71,3.26,1.67,4.32,1.54,8,4,V.CV.CV.CVV,N,17.367,1.264,4.240,1,1.950
94,agonia,agony,3.52,1.84,2.98,1.63,3.35,1.32,6,4,V.CV.CV.V,"N,V",6.185,0.856,3.791,3,1.650
95,agradável,pleasant,4.10,1.79,3.22,1.75,5.27,1.33,9,4,V.CCV.CV.CVC,ADJ,19.268,1.307,4.285,1,2.650
96,agradecido,grateful,4.02,1.93,3.34,1.69,4.88,1.64,10,5,V.CCV.CV.CV.CV,"ADJ,V",1.637,0.421,3.214,1,2.550
97,agravamento,aggravation,2.58,1.33,3.43,1.86,3.61,1.53,11,5,V.CCV.CV.CVC.CV,N,20.572,1.334,4.313,0,2.600
98,agressão,aggression,5.00,1.55,4.41,1.99,4.33,1.63,8,3,V.CCVC.CVV,N,24.002,1.398,4.380,0,2.500
99,agressivo,aggressive,4.50,1.87,3.71,1.78,4.60,1.56,9,4,V.CCVC.CV.CV,ADJ,7.333,0.921,3.865,1,2.500
100,agrião,water-cress,4.27,2.42,5.53,1.81,2.29,1.07,6,3,V.CCV.VV,N,0.117,0.048,2.069,1,1.950
101,agricultor,farmer,5.78,1.30,6.35,0.76,3.95,1.34,10,4,V.CCV.CVC.CVC,"ADJ,N",7.958,0.952,3.901,1,2.400
102,agricultura,agriculture,5.10,1.87,5.18,1.71,4.42,1.61,11,5,V.CCV.CVC.CV.CV,N,67.901,1.838,4.832,2,2.200
103,agrupamento,grouping,3.82,1.79,4.14,1.62,3.59,1.14,11,5,V.CCV.CV.CVC.CV,N,9.082,1.004,3.958,0,2.700
104,água,water,6.51,1.02,6.78,0.54,6.93,0.26,4,2,V.CVV,N,260.374,2.417,5.416,2,1.800
105,águia,eagle,5.85,1.64,6.61,0.71,3.42,1.20,5,2,V.CVVV,N,4.441,0.736,3.648,0,1.850
106,agulha,needle,5.68,2.15,6.61,0.71,4.02,1.59,6,3,V.CV.CCV,N,3.337,0.637,3.523,1,1.850
107,aia,maid,3.84,2.01,5.29,1.90,1.69,0.64,3,2,VV.V,N,1.026,0.307,3.011,18,1.000
108,aipo,celery,4.68,2.16,5.86,1.49,2.24,1.11,4,2,VV.CV,N,0.474,0.169,2.676,7,1.500
109,ajuda,help,3.90,1.83,3.11,1.72,5.70,1.16,5,3,V.CV.CV,"N,V",120.536,2.085,5.081,5,1.500
110,alargamento,enlargement,3.51,1.74,3.29,1.71,4.04,1.41,11,5,V.CVC.CV.CVC.CV,N,52.151,1.726,4.717,0,2.200
111,alarme,alarm,5.05,1.91,5.18,1.84,4.52,1.56,6,3,V.CVC.CV,"N,V",12.443,1.129,4.095,3,1.700
112,albatroz,albatross,3.31,1.99,4.24,2.44,1.72,0.76,8,3,VC.CV.CCVC,N,0.283,0.108,2.452,0,2.800
113,álbum,album,5.83,1.54,5.49,1.47,3.91,1.05,5,2,VC.CVC,N,60.754,1.791,4.784,0,2.850
114,alcachofra,artichoke,4.86,2.09,5.41,2.10,2.19,0.99,10,4,VC.CV.CCV.CCV,N,0.112,0.046,2.051,0,3.500
115,alcance,reach,3.13,1.84,3.05,1.31,4.35,1.52,7,3,VC.CVC.CV,"N,V",25.541,1.424,4.407,0,1.950
116,alce,moose,5.00,2.30,6.08,1.51,1.91,0.71,4,2,VC.CV,"N,V",0.132,0.054,2.120,1,1.700
117,álcool,alcohol,5.53,1.41,5.68,1.57,4.69,1.23,6,3,VC.CV.VC,N,22.184,1.365,4.346,0,3.150
118,alcoólico,alcoholic,5.08,1.79,4.67,1.79,4.25,1.37,9,5,VC.CV.V.CV.CV,"ADJ,N",3.307,0.634,3.520,1,2.900
119,alcoolismo,alcoholism,4.51,1.87,4.18,1.79,3.84,1.44,10,5,VC.CV.V.CVC.CV,N,4.446,0.736,3.648,0,3.600
120,aldeia,village,5.46,1.46,5.51,1.43,4.23,1.38,6,3,VC.CVV.V,"N,V",55.566,1.753,4.745,2,1.750
121,aleatório,random,3.33,1.94,2.98,1.62,4.49,1.45,9,5,V.CV.V.CV.CVV,ADJ,1.749,0.439,3.243,1,2.500
122,alegre,joyful,4.92,1.87,3.86,2.06,5.77,1.22,6,3,V.CV.CCV,"ADJ,V",11.407,1.094,4.057,3,1.700
123,alegria,joy,4.75,1.71,3.10,1.82,5.54,1.07,7,4,V.CV.CCV.V,N,36.455,1.574,4.562,1,1.750
124,além,beyond,3.57,2.25,2.78,1.89,4.34,1.95,4,2,V.CVC,"ADV,N",472.330,2.675,5.674,7,1.600
125,alemão,German,4.55,1.80,4.61,2.03,3.48,1.29,6,3,V.CV.CVV,"ADJ,N",102.929,2.017,5.013,1,1.900
126,alergia,allergy,4.83,1.85,4.43,1.87,4.41,1.53,7,4,V.CVC.CV.V,N,0.943,0.289,2.975,1,1.900
127,alerta,alert,3.74,1.86,3.43,1.71,4.48,1.30,6,3,V.CVC.CV,"ADV,N,V",37.168,1.582,4.570,7,1.450
128,alface,lettuce,5.78,1.94,6.70,0.76,5.38,1.24,6,3,VC.CV.CV,N,1.451,0.389,3.162,0,2.100
129,alfaiate,tailor,5.10,2.06,5.57,1.56,2.45,0.93,8,4,VC.CVV.V.CV,N,1.446,0.389,3.160,1,2.550
130,alfarroba,carob,4.14,2.16,4.75,2.14,2.00,0.93,9,4,VC.CVC.CV.CV,N,0.322,0.121,2.508,0,3.300
131,alfinete,pin,5.97,1.56,6.54,0.91,3.36,1.12,8,4,VC.CV.CV.CV,"N,V",0.816,0.259,2.912,0,2.700
132,alho,garlic,6.10,1.63,6.50,0.81,5.34,1.31,4,2,V.CCV,N,4.455,0.737,3.649,10,1.000
133,aliado,ally,3.70,2.00,3.98,1.94,3.75,1.19,6,4,V.CV.V.CV,"ADJ,N,V",15.677,1.222,4.195,7,1.400
134,aliança,alliance,6.18,1.17,5.76,1.49,3.56,1.19,7,4,V.CV.VC.CV,N,41.335,1.627,4.616,2,1.850
135,alicate,pliers,5.64,1.87,6.26,1.37,3.05,0.88,7,4,V.CV.CV.CV,N,0.396,0.145,2.597,1,2.250
136,alienação,alienation,2.82,1.97,2.29,1.31,3.05,1.78,9,5,V.CV.V.CV.CVV,N,10.958,1.078,4.040,1,2.200
137,alimentação,feeding,5.10,1.89,4.98,1.79,5.96,0.99,11,5,V.CV.CVC.CV.CVV,N,23.469,1.389,4.371,1,2.400
138,alimentar,feed,3.85,1.85,4.33,1.81,5.83,1.16,9,4,V.CV.CVC.CVC,"ADJ,V",31.745,1.515,4.502,4,1.600
139,alimento,nourishment,6.02,1.47,6.15,1.06,6.32,1.03,8,4,V.CV.CVC.CV,"N,V",5.047,0.782,3.703,2,1.700
140,alívio,relief,3.79,1.67,3.24,1.76,4.86,1.11,6,3,V.CV.CVV,N,12.253,1.122,4.088,2,1.850
141,alma,soul,3.25,2.12,1.87,1.25,4.48,1.44,4,2,VC.CV,N,57.628,1.768,4.761,11,1.200
142,almoço,lunch,5.21,1.96,5.95,1.17,6.66,0.48,6,3,VC.CV.CV,"N,V",40.509,1.618,4.608,2,1.900
143,almofada,pillow,6.34,1.15,6.51,0.78,5.81,1.25,8,4,VC.CV.CV.CV,"N,V",2.223,0.508,3.347,2,1.800
144,alojamento,accomodation,4.73,1.81,5.26,1.47,4.30,1.76,10,5,V.CV.CV.CVC.CV,N,10.802,1.072,4.034,1,1.900
145,alperce,apricot,5.08,2.24,6.07,1.30,2.53,0.90,7,3,VC.CVC.CV,N,0.117,0.048,2.069,0,2.450
146,alta,high,4.66,1.92,4.58,1.91,5.47,1.27,4,2,VC.CV,"ADJ,N",111.318,2.050,5.047,13,1.000
147,altar,altar,5.27,1.89,5.76,1.40,3.07,0.94,5,2,VC.CVC,N,7.631,0.936,3.883,7,1.300
148,alternativa,alternative,3.13,1.90,3.29,1.85,5.21,1.40,11,5,VC.CVC.CV.CV.CV,"ADJ,N",68.683,1.843,4.837,1,2.800
149,alternativo,alternative,3.29,1.89,2.61,1.28,4.75,1.39,11,5,VC.CVC.CV.CV.CV,ADJ,10.069,1.044,4.003,1,3.050
150,altitude,altitude,4.60,1.89,3.95,1.54,3.60,1.43,8,4,VC.CV.CV.CV,N,11.495,1.097,4.061,1,2.400
151,alto,tall,5.42,1.64,5.28,1.91,5.69,1.23,4,2,VC.CV,"ADJ,ADV,N",113.482,2.059,5.055,12,1.150
152,altura,height,4.81,1.71,4.61,1.70,5.00,1.34,6,3,VC.CV.CV,N,343.293,2.537,5.536,3,1.750
153,alucinante,hallucinatory,3.79,1.87,2.65,1.14,4.05,1.48,10,5,V.CV.CV.CVC.CV,ADJ,3.542,0.657,3.549,0,2.650
154,aluguer,rental,3.85,1.78,3.73,1.83,3.98,1.44,7,3,V.CV.CVVC,N,14.212,1.182,4.153,2,2.300
155,alumínio,aluminum,5.47,1.83,6.23,1.00,4.02,1.40,8,4,V.CV.CV.CVV,N,10.425,1.058,4.018,0,2.800
156,aluno,pupil,5.92,1.28,5.86,1.39,6.64,0.56,5,3,V.CV.CV,"N,V",21.691,1.356,4.336,4,1.700
157,alvo,target,4.92,1.74,4.52,1.90,3.96,1.31,4,2,VC.CV,"ADJ,N",72.543,1.867,4.861,8,1.250
158,ama,nanny,4.76,2.10,4.84,1.95,4.28,1.99,3,2,V.CV,"N,V",9.390,1.017,3.973,12,1.000
159,amabilidade,kindness,3.89,2.11,2.69,1.80,4.12,1.49,11,6,V.CV.CV.CV.CV.CV,N,1.016,0.305,3.007,1,2.300
160,amado,loved,3.84,1.80,2.98,1.70,4.49,1.55,5,3,V.CV.CV,"ADJ,N,V",3.478,0.651,3.541,8,1.200
161,amante,lover,4.34,1.70,4.04,1.95,3.67,1.44,6,3,V.CVC.CV,"ADJ,N",13.308,1.156,4.124,4,1.750
162,amarelo,yellow,5.77,1.56,5.37,1.95,5.16,1.32,7,4,V.CV.CV.CV,"ADJ,N,V",20.230,1.327,4.306,1,1.850
163,amargo,bitter,3.81,2.00,3.76,1.77,4.21,1.41,6,3,V.CVC.CV,"ADJ,N,V",5.174,0.791,3.714,4,1.600
164,amável,kind,3.63,1.73,3.05,1.63,4.55,1.48,6,3,V.CV.CVC,ADJ,2.838,0.584,3.453,2,1.900
165,âmbar,amber,4.12,2.12,4.24,2.16,2.12,0.92,5,2,VC.CVC,"ADJ,N",1.016,0.305,3.007,0,2.000
166,ambição,ambition,3.35,1.89,2.79,1.52,4.67,1.46,7,3,VC.CV.CVV,N,18.056,1.280,4.257,0,2.550
167,ambicioso,ambitious,3.11,1.73,3.53,1.71,4.29,1.35,9,5,VC.CV.CV.V.CV,"ADJ,N",10.655,1.067,4.028,2,2.500
168,ambiente,environment,4.67,1.88,3.68,1.79,5.45,1.16,8,4,VC.CV.VC.CV,"ADJ,N,V",165.447,2.221,5.219,2,2.100
169,ambiguidade,ambiguity,2.86,1.70,2.13,1.39,3.07,1.30,11,5,VC.CV.CVV.CV.CV,N,7.089,0.908,3.851,0,3.500
170,âmbito,scope,2.49,1.19,2.80,1.90,4.10,1.46,6,3,VC.CV.CV,N,135.891,2.136,5.133,0,1.950
171,ambulância,ambulance,5.92,1.52,6.50,1.04,4.55,1.62,10,4,VC.CV.CVC.CVV,N,7.304,0.919,3.864,0,3.650
172,ameaça,menace,3.71,1.92,3.10,1.56,4.00,1.44,6,4,V.CV.V.CV,"N,V",76.651,1.890,4.885,2,1.700
173,ameaçador,threatening,4.00,1.70,3.14,1.56,4.13,1.65,9,5,V.CV.V.CV.CVC,ADJ,1.974,0.473,3.295,1,2.250
174,ameixa,plum,6.18,1.35,6.42,1.00,3.52,1.19,6,3,V.CVV.CV,N,0.195,0.078,2.291,1,1.850
175,amêndoa,nut,5.86,1.49,6.78,0.57,3.25,1.08,7,3,V.CVC.CVV,N,1.304,0.363,3.115,0,2.700
176,amendoim,peanut,5.52,2.18,6.66,0.58,3.68,1.10,8,4,V.CVC.CV.VC,N,0.562,0.194,2.750,0,2.850
177,americano,american,4.94,2.01,5.19,1.54,4.47,1.30,9,5,V.CV.CV.CV.CV,"ADJ,N",88.503,1.952,4.947,1,2.600
178,amigável,friendly,3.77,1.91,3.59,1.94,5.16,1.39,8,4,V.CV.CV.CVC,ADJ,4.519,0.742,3.655,0,2.500
179,amigo,friend,6.05,1.11,4.80,1.69,6.54,0.64,5,3,V.CV.CV,"ADJ,N,V",73.119,1.870,4.864,3,1.650
180,amizade,friendship,4.55,1.89,2.98,1.97,5.78,1.33,7,4,V.CV.CV.CV,N,24.608,1.408,4.391,0,2.600
181,amnistia,amnesty,2.98,1.65,3.00,1.67,2.40,1.08,8,4,VC.CVC.CV.V,N,16.483,1.243,4.217,1,2.200
182,amor,love,5.05,1.81,3.33,2.20,6.25,1.08,4,2,V.CVC,N,92.607,1.971,4.967,5,1.550
183,amora,blueberry,6.07,1.45,6.38,1.05,3.05,1.08,5,3,V.CV.CV,N,3.195,0.623,3.505,8,1.250
184,amoroso,loving,4.23,1.99,3.60,1.76,4.67,1.54,7,4,V.CV.CV.CV,"ADJ,N",3.298,0.633,3.518,1,1.850
185,amostra,sample,3.55,2.02,4.02,1.76,4.57,1.28,7,3,V.CVC.CCV,"N,V",11.319,1.091,4.054,1,1.700
186,amplitude,amplitude,2.57,1.44,3.37,1.81,3.74,1.54,9,4,VC.CCV.CV.CV,N,9.351,1.015,3.971,0,3.000
187,amplo,ample,3.63,1.93,3.43,1.83,3.66,1.34,5,2,VC.CCV,ADJ,14.119,1.180,4.150,2,1.800
188,amuado,grumpy,4.07,1.91,3.29,1.57,4.52,1.51,6,4,V.CV.V.CV,"ADJ,V",0.347,0.129,2.540,5,1.600
189,análise,analysis,3.46,1.78,3.09,1.65,4.77,1.56,7,4,V.CV.CV.CV,N,97.077,1.992,4.987,1,2.350
190,analista,analyst,3.73,1.89,4.60,1.88,3.02,1.34,8,4,V.CV.CVC.CV,"ADJ,N",11.901,1.111,4.076,1,1.850
191,ananás,pineapple,5.39,2.13,6.49,0.91,4.18,1.30,6,3,V.CV.CVC,N,0.972,0.295,2.988,0,2.300
192,anão,dwarf,5.86,1.46,6.05,1.25,3.00,1.13,4,2,V.CVV,"ADJ,N",0.982,0.297,2.992,9,1.350
193,anchova,anchovy,4.35,2.33,5.30,1.87,2.16,1.17,7,3,VC.CCV.CV,N,0.151,0.061,2.180,0,2.250
194,ancinho,rake,4.32,2.07,5.39,1.94,2.13,0.97,7,3,VC.CV.CCV,N,0.122,0.050,2.087,1,1.850
